"SeasonEnd","Team","Franchise","Team.1","Playoffs","W","PTS","oppPTS","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","FGP","X2PP","X3PP","FTP","absPTS","X2P_rate","X3P_rate","X2PA_rate","X3PA_rate","period"
1980,"Atlanta Hawks","ATL","ATL",1,50,104.548780487805,101.634146341463,39.7682926829268,85.6951219512195,39.609756097561,84.780487804878,0.158536585365854,0.914634146341463,24.8536585365854,32.2560975609756,16.6951219512195,29.3414634146341,23.3292682926829,9.53658536585366,6.57317073170732,18.2317073170732,0.464067169489113,0.467203682393556,0.173333333333333,0.770510396975425,2.91463414634146,0.996013492793622,0.00398650720637841,0.989326882026469,0.0106731179735307,1
1981,"Atlanta Hawks","ATL","ATL",1,31,104.926829268293,108.024390243902,40.1341463414634,83.7317073170732,40.0121951219512,82.7317073170732,0.121951219512195,1,24.5365853658537,31.5853658536585,14.6463414634146,27.1219512195122,22.5121951219512,9.13414634146342,5.71951219512195,19.5731707317073,0.479318380425284,0.483637971698113,0.121951219512195,0.776833976833977,-3.09756097560977,0.996961409905804,0.00303859009419629,0.988057092921643,0.0119429070783571,1
1982,"Atlanta Hawks","ATL","ATL",0,42,100.987804878049,100.451219512195,39.1463414634146,82.6341463414634,38.8048780487805,81.0731707317073,0.341463414634146,1.5609756097561,22.3536585365854,29.109756097561,13.8414634146341,28.8780487804878,22.1341463414634,7.41463414634146,5.91463414634146,16.3780487804878,0.473730814639906,0.478640192539109,0.21875,0.767909509844994,0.536585365853654,0.991277258566978,0.00872274143302181,0.981109799291617,0.0188902007083825,1
1983,"Atlanta Hawks","ATL","ATL",0,43,101.646341463415,102.59756097561,40.8780487804878,87.1463414634146,40.3292682926829,84.8536585365854,0.548780487804878,2.29268292682927,19.3414634146341,25.7439024390244,13.890243902439,29.6707317073171,23.719512195122,6.98780487804878,8.10975609756098,17.3658536585366,0.46907360761265,0.475280252946249,0.23936170212766,0.751302700142113,-0.951219512195124,0.986575178997613,0.0134248210023866,0.973691575706689,0.0263084242933109,1
1984,"Atlanta Hawks","ATL","ATL",0,40,101.475609756098,102.768292682927,39.390243902439,83.0365853658537,39.109756097561,81.7439024390244,0.280487804878049,1.29268292682927,22.4146341463415,29.4390243902439,13.5609756097561,27.219512195122,22.280487804878,7.63414634146341,6.80487804878049,16.2073170731707,0.474372154501395,0.478442488438013,0.216981132075472,0.76139188069594,-1.29268292682927,0.992879256965944,0.00712074303405573,0.984432368923484,0.0155676310765164,1
1985,"Atlanta Hawks","ATL","ATL",0,34,106.621951219512,108.073170731707,42,86.8170731707317,41.109756097561,83.9512195121951,0.890243902439024,2.86585365853659,21.7317073170732,28.9146341463415,14.1585365853659,28.5975609756098,24.5,8.10975609756098,6.59756097560976,17.9878048780488,0.48377581120944,0.489686228936665,0.31063829787234,0.751581611134542,-1.45121951219512,0.978803716608595,0.0211962833914053,0.966989745750808,0.0330102542491923,1
1986,"Atlanta Hawks","ATL","ATL",0,50,108.609756097561,106.243902439024,42.0365853658537,85.719512195122,41.6341463414634,83.6951219512195,0.402439024390244,2.02439024390244,24.1341463414634,32.9756097560976,15.2317073170732,29.3292682926829,24.6951219512195,8.97560975609756,5.29268292682927,18.0853658536585,0.490396927016645,0.497450094710768,0.198795180722892,0.731878698224852,2.36585365853658,0.990426457789382,0.00957354221061793,0.976383553848343,0.0236164461516574,1
1987,"Atlanta Hawks","ATL","ATL",1,57,110.048780487805,102.817073170732,41.890243902439,87.0853658536585,40.2439024390244,81.9024390243902,1.64634146341463,5.18292682926829,24.6219512195122,32.4512195121951,16.4634146341463,30.219512195122,25.3292682926829,8.53658536585366,6.23170731707317,15.5975609756098,0.481025066517295,0.491363907087552,0.317647058823529,0.758737316798196,7.23170731707317,0.960698689956332,0.0393013100436681,0.940484525976754,0.059515474023246,1
1988,"Atlanta Hawks","ATL","ATL",0,50,107.853658536585,104.256097560976,41.9878048780488,86.609756097561,40.9512195121951,83.1707317073171,1.03658536585366,3.4390243902439,22.8414634146341,29.7682926829268,14.9756097560976,29.0121951219512,25.1463414634146,7.74390243902439,6.54878048780488,14.9390243902439,0.484793016051816,0.492375366568915,0.301418439716312,0.767308480131094,3.59756097560977,0.975312227708394,0.0246877722916062,0.960292875246409,0.0397071247535905,1
1989,"Atlanta Hawks","ATL","ATL",1,52,111,106.085365853659,41.609756097561,88.1707317073171,40.2682926829268,83.3292682926829,1.34146341463415,4.84146341463415,26.4390243902439,33.0365853658537,16.7317073170732,28.2439024390244,24.2682926829268,9.96341463414634,5.78048780487805,15.9756097560976,0.471922544951591,0.483243085028538,0.277078085642317,0.800295311923219,4.91463414634147,0.967760844079719,0.0322391559202814,0.945089903181189,0.0549100968188105,1
1990,"Atlanta Hawks","ATL","ATL",1,41,108.548780487805,107.524390243902,41.6707317073171,85.5975609756098,40.1585365853659,80.5853658536585,1.51219512195122,5.01219512195122,23.6951219512195,31.0243902439024,15.5243902439024,26.6707317073171,22.1951219512195,8.74390243902439,4.30487804878049,15.4878048780488,0.486821484541958,0.498335351089588,0.301703163017032,0.76375786163522,1.02439024390243,0.963710857477319,0.0362891425226807,0.941444650235076,0.0585553497649238,2
